year,month,inflation_coefficient,inflation_prev_month
2023,1,1.22673059308406,1.3199999999999932
2023,2,1.21711538156966,0.7900000000000063
2023,3,1.2155351858280838,0.12999999999999545
2023,4,1.212020326880131,0.29000000000000625
2023,5,1.2157892736283786,-0.3100000000000023
2023,6,1.2159108647148504,-0.010000000000005116
2023,7,1.209981953144443,0.4899999999999949
2023,8,1.2107083781713455,-0.060000000000002274
2023,9,1.200385066598598,0.8599999999999994
2023,10,1.1843957243202745,1.3499999999999943
2023,11,1.166317798444386,1.5499999999999972
2023,12,1.1491947959842213,1.4899999999999949
2024,1,1.134895117503675,1.2600000000000051
2024,2,1.1262231988723581,0.769999999999996
2024,3,1.1243118686955753,0.1700000000000017
2024,4,1.1188296036377507,0.4899999999999949
2024,5,1.1142611329924812,0.4099999999999966
2024,6,1.1072852360056462,0.6299999999999955
2024,7,1.1033133080964983,0.35999999999999943
2024,8,1.1034236504615447,-0.010000000000005116
2024,9,1.0996847224053663,0.3400000000000034
2024,10,1.0863229501189038,1.230000000000004
2024,11,1.061587950863778,2.3299999999999983
2024,12,1.034686111953,2.5999999999999943
2025,1,1.0211054099999999,1.3299999999999983
2025,2,1.0083,1.269999999999996
2025,3,1.0,0.8299999999999983
