,0
rto_lag_1_per_day,11283377.648341179
rto_lag_1_scaled_by_days,5742167.5422616005
locality,3699040.9241275787
rto_lag_1,690601.6988949776
region,540609.7353100777
month_cos,466691.8265104294
rto_cummean,408195.23365688324
is_jan,388885.01864910126
grp_all_lag1_mean,344375.93324041367
month_sin,196686.85351657867
cancellations_clipped,184650.68351364136
rto_slope_12,181005.2170600891
rto_pct_1,176323.6193060875
rto_slope_3,164325.03574752808
rto_lag_7,156604.70048046112
households,154461.67980718613
rto_diff_1,147826.63517045975
rto_lag_12_per_day,108894.4563794136
rto_lag_15,101081.36199188232
rto_lag1_to_cummean,95052.96638011932
population,90023.54997873306
grp_all_yoy_macro_mean,89205.33410263062
rto_lag_10,74478.62665367126
rto_lag_13,74239.9501285553
ets_pred,68341.20487737656
rto_pct_2,66185.66247844696
rto_lag_2,64951.93922281265
days_in_month_lag_1,64462.93370580673
grp_all_yoy_macro_median,64076.16333913803
cancellations_lag_1,60408.28570461273
rto_lag_9,58365.64594554901
rto_slope_6,56362.324553489685
rto_diff_2,55029.27066326141
rto_pct_6,54805.43049907684
rto_rstd_3,54791.45333957672
rto_rmedian_12,54433.63483810425
cashboxes,51727.96316289902
rto_per_day_yoy_ratio,48034.36995792389
grp_all_lag12_mean,47178.21789455414
rto_diff_6,45671.1186170578
rto_rstd_24,43331.42867517471
promo_per_check_lag_1,42455.15699005127
rto_yoy_diff,42287.118517398834
items_per_check_rmean_12,41108.815551280975
items_per_check_lag_1,40829.37842273712
rto_rmin_3,39994.5147485733
rto_rmedian_3,39205.26022911072
is_dec,38665.15116405487
rto_rstd_12,36179.53776550293
promo_per_check_lag_2,32985.49020719528
rto_cumstd,32728.885951042175
rto_rstd_6,32203.292117595673
rto_yoy_ratio,32201.49242258072
rto_lag_12,31956.530032634735
te_region_month,31802.06647157669
foot_traffic,31362.420480251312
rto_rmean_3,28542.4500374794
grp_area_cat_yoy_median,28479.93043088913
rto_rmin_12,27777.46162366867
items_per_check_lag_12,27411.481291294098
rto_lag_6,26676.694837093353
grp_area_cat_yoy_mean,26122.45124912262
quarter,25882.72414112091
rto_rmin_6,25856.825965881348
rto_same_month_1y_per_day,25139.02039051056
rto_lag_3,25126.978486537933
days_in_month,24840.535526275635
te_open_date_cat,24566.873957157135
cancellations_rmean_3,24543.200829982758
grp_open_date_cat_lag1_mean,24505.51859521866
grocery_500,24461.605980873108
rto_same_month_mean,24185.600029468536
grp_open_date_cat_lag1_median,24004.232923984528
cancellations_lag_2,23975.321167469025
items_per_check_lag_2,23123.342529296875
promo_per_check_rmean_3,22148.20887708664
rto_lag_16,21850.350128650665
area_cat,21696.978141784668
promo_per_check_rmean_12,21466.679926395416
car_traffic,21023.44944524765
items_per_check_rmean_3,20926.037797927856
grp_region_lag1_median,20486.82140827179
grp_region_yoy_median,20003.408398151398
te_region,19689.17698431015
days_ratio_curr_to_lag1,19547.005464553833
rto_rmax_3,19119.494282245636
promo_per_check_lag_12,18973.51026248932
grp_region_yoy_mean,18969.769681453705
te_locality,18899.773628234863
rto_log_ratio_1_12,18252.265460968018
grp_open_date_cat_yoy_mean,17090.837220668793
rto_rmean_12,17042.37577676773
grp_open_date_cat_yoy_median,16433.62907552719
cancellations_rmean_12,16250.315145015717
cancellations_lag_12,16090.289492607117
rto_rmin_24,16050.600455760956
rto_rmedian_6,15766.21595287323
rto_rmedian_24,15434.837921619415
open_date_cat,13549.835793972015
grp_area_cat_lag1_mean,13442.633841991425
te_area_open,12862.59058380127
rto_rmax_12,12461.213978767395
grp_area_cat_lag1_median,12435.59905576706
rto_cummin,12284.517028331757
rto_cummax,11992.63321018219
medical_300,11654.096598148346
grp_region_lag1_mean,11436.18986940384
rto_rmax_24,11190.16731595993
rto_rmean_6,10321.684449672699
rto_naive_seasonal,10263.225818634033
te_area_cat,9951.873909950256
rto_rmax_6,9900.938502311707
te_region_area,9029.470905303955
rto_rmean_24,8452.74905014038
rto_same_month_1y,7726.681784629822
marketplaces_100,7216.480906963348
stops_300,7066.523898124695
foot_traffic_clipped,6736.833582878113
rto_lag_24,6573.326313495636
grocery_500_clipped,6480.555757522583
work_hours,6077.383906364441
is_feb,5963.445960998535
rto_lag_25,5806.972602844238
days_per_month_ratio,5616.7692856788635
car_traffic_clipped,4987.794044017792
rto_ratio_lag1_sm1y,4591.744556903839
p5_500,3946.230444431305
schools_300,2429.054349422455
medical_300_clipped,2337.793535709381
marketplaces_100_clipped,1416.4300384521484
stops_300_clipped,1248.061191558838
rto_same_month_2y,1202.9689779281616
schools_300_clipped,407.4919605255127
alco_flag,383.387601852417
is_mar,297.3626346588135
