,0
rto_lag_1,10441978.52706194
locality,993186.4526156187
rto_rmin_2,333812.0361213684
rto_rmean_2,240824.78276884556
region,228096.26166462898
is_jan,202289.8915321827
month_cos,148070.09736263752
rto_seasonal_ratio_baseline,146230.54511010647
rto_rmax_2,132400.41050553322
grp_all_lag1_mean,127820.33063495159
rto_diff_1,100341.69668865204
rto_lag_12_div_lag_13,87302.94082891941
households,65582.45560574532
month_sin,60521.61620533466
rto_lag_7,60407.66391038895
rto_lag_11,58344.121763587
cashboxes,49245.13844835758
rto_slope_12,47311.56301128864
cci_diff_1,44552.98211467266
rto_rmedian_2,43641.95352089405
rto_lag_8,41731.603935956955
rto_pct_1,39535.09073603153
rto_slope_3,34534.274575829506
rto_lag_1_div_lag_2,34467.511066913605
rto_cummean,31550.720445394516
rto_rmedian_12,31003.150703072548
grp_area_cat_lag1_mean,30539.759862542152
population,30386.315310239792
rto_lag_12,27230.693168759346
items_per_check_rmean_12,23113.21629667282
non_working_days,22036.741651296616
rto_lag1_to_cummean,21298.28767335415
log_growth_lag_4,20896.934324383736
rto_lag_10,19845.07365810871
avg_ticket_inflated,18481.578666448593
abs_log_growth_lag_1,18260.813051462173
log_growth_lag_6,17595.281996369362
rto_rstd_2,16993.47183930874
rto_rmin_12,16637.35563516617
rto_lag_2_div_lag_4,16591.786781668663
rto_lag_2_div_lag_14,15014.31270980835
rto_rmedian_24,14160.229265928268
cci_lag_4,13848.0442892313
items_per_check_lag1_to_cummean,13779.439051270485
items_per_check_diff2_1,12629.178599953651
items_per_check_diff_1,12504.0867664814
rto_lag_9,12479.579316735268
rto_rstd_24,11422.393805027008
ets_pred,11387.358201146126
rto_diff2_1,11207.49530506134
rto_lag_2,11064.828558683395
rto_rstd_12,10885.030168414116
avg_ticket_inflated_lag_12,10317.076415538788
promo_per_check_diff_1,9890.879877448082
te_open_date_cat,9692.300315260887
rto_slope_6,9348.867484211922
grp_area_cat_yoy_mean,9257.693716526031
te_locality,9155.858648061752
region_spendings_mom_ratio,9110.258368372917
foot_traffic_clipped,9081.109861016273
rto_rmin_24,8969.023014187813
rto_rmax_4,8879.847174167633
te_region_month,8718.946502327919
promo_per_check_lag1_to_cummean,8604.029982924461
rto_cv_3,8539.450782418251
rto_diff_2,8176.717817306519
rto_rstd_3,8036.9166469573975
promo_per_check_pct_6,8009.4673862457275
is_dec,7924.323193073273
rto_cv_6,7890.567265152931
rto_rmean_12,7861.904725432396
rto_same_month_mean,7707.372114419937
area_cat,7631.332114696503
rto_pct_6,7514.999707221985
grocery_500_clipped,7453.651502728462
grp_all_yoy_macro_median,7376.790986061096
items_per_check_lag_2,7350.965348124504
rto_rmax_6,7284.993994116783
items_per_check_pct_6,7276.286455631256
items_per_check_pct_2,7232.380527019501
items_per_check_diff_2,7156.25797867775
te_region,7006.478308796883
grp_all_lag12_mean,6961.6860728263855
grp_area_cat_yoy_median,6946.233743071556
rto_pct_2,6863.1090495586395
rto_rmin_6,6601.296873092651
rto_yoy_diff,6569.482944250107
rto_rmax_12,6527.302342057228
avg_ticket_inflated_lag_3,6523.762202978134
promo_per_check_pct_1,6456.796171545982
rto_cumstd,6391.780202507973
rto_diff_6,6295.297056436539
grp_area_cat_lag1_median,6286.860386967659
cancellations_lag_1,6267.019844412804
rto_rmedian_3,6261.508573412895
promo_per_check_lag_2,6239.203084230423
rto_rstd_4,6116.9836094379425
promo_per_check_diff_6,6102.504803657532
grp_region_lag1_median,6078.082752585411
promo_per_check_pct_2,5982.75554394722
open_date_cat,5981.584587574005
cci_diff_4,5867.292794942856
grp_open_date_cat_lag1_median,5588.364439487457
grp_region_yoy_mean,5547.050246596336
rto_lag_5,5356.339272856712
rto_yoy_ratio,5353.5161781311035
promo_per_check_diff_2,5297.7074501514435
promo_per_check_diff2_1,5278.949253201485
is_feb,5262.489817380905
rto_lag_15,5257.3048758506775
rto_rstd_6,5197.355919718742
items_per_check_diff_6,5079.118967294693
cancellations_diff_1,5047.24400305748
promo_per_check_cumstd,4935.507267951965
rto_lag_6,4914.048788905144
grp_locality_lag1_mean,4784.6031448841095
items_per_check_pct_1,4732.326667428017
rto_rmin_3,4539.893928050995
rto_rmax_3,4457.851829648018
cancellations_lag1_to_cummean,4432.01865875721
items_per_check_cumstd,4421.730207204819
cancellations_pct_1,4357.079633116722
items_per_check_lag_1,4269.466770291328
promo_per_check_lag_1,4229.159164071083
rto_rmean_6,4142.91818010807
cancellations_diff2_1,4097.5398515462875
car_traffic_clipped,4015.512180328369
cancellations_pct_2,3916.0750082731247
cancellations_diff_6,3912.131027817726
cci_yoy_ratio,3848.665014266968
rto_rmin_4,3814.840934753418
grp_region_yoy_median,3769.041027069092
region_spendings_inflated,3673.78200173378
cancellations_diff_2,3526.483428120613
grp_open_date_cat_yoy_mean,3503.597644329071
quarter,3435.6679822206497
grp_open_date_cat_yoy_median,3419.544976234436
region_spendings_lag_3,3348.3877232074738
grp_open_date_cat_lag1_mean,3333.0849199295044
cancellations_pct_6,3242.95944416523
grp_region_lag1_mean,3213.9950910806656
rto_rmedian_6,3199.450964808464
rto_lag_4,3187.9306033849716
rto_log_ratio_1_12,3080.3057070970535
promo_per_check_rmean_3,3079.1265827417374
cci_lag_2,3009.1115798950195
cancellations_cumstd,2945.92820751667
region_spendings_rmean_12,2883.408269047737
grp_locality_yoy_median,2835.5749641656876
medical_300_clipped,2791.1386506557465
rto_rmax_24,2752.628375172615
promo_per_check_rmean_12,2732.9464950561523
te_area_cat,2719.7043805122375
rto_rmedian_4,2675.046746969223
items_per_check_rmean_3,2604.359151005745
rto_lag_3,2580.5625615119934
items_per_check_yoy_ratio,2578.4165394306183
grp_locality_lag1_median,2447.173327922821
rto_rmean_3,2385.8228962421417
te_area_open,2306.3359130620956
items_per_check_lag_12,2297.8459157943726
grp_all_yoy_macro_mean,2279.0410747528076
items_per_check_yoy_diff,2112.414002776146
days_in_month,2060.840751647949
marketplaces_100_clipped,1955.841061592102
cancellations_rmean_3,1923.7156356573105
cancellations_lag_2,1918.5145307779312
p5_500,1881.872915506363
rto_rmean_4,1848.9629073143005
rto_lag_14,1844.4583506584167
items_per_check_cummean,1780.6395816802979
grp_locality_yoy_mean,1667.205674290657
items_per_check_log_ratio_1_12,1590.8466130495071
log_growth_lag_1,1551.4763501882553
rto_lag_16,1547.0900774002075
promo_per_check_yoy_ratio,1542.1020241975784
cancellations_cummean,1503.1432605981827
rto_rmean_24,1441.6555874347687
te_region_area,1437.6658211946487
rto_lag_13,1359.6109993457794
promo_per_check_cummean,1333.6602323055267
rto_lag_17,1282.8330998420715
work_hours,1259.985247373581
cci_lag_1,1237.546854019165
cancellations_rmean_12,1209.4308639764786
stops_300_clipped,1121.5370653867722
