,0
rto_lag_1_per_day,7974805.333618879
rto_lag_1_scaled_by_days,3150088.3410463333
locality,1581736.976351142
region,281122.4493511915
month_cos,230086.9485399723
is_jan,211987.78542208672
rto_seasonal_ratio_baseline,146435.6681662798
cancellations_clipped,122548.97967123985
rto_rmin_2,120824.20595240593
rto_lag_12_div_lag_13,105849.77112352848
rto_lag_7,78218.57624828815
month_sin,75677.50864565372
households,72755.39512062073
rto_slope_12,67514.01787114143
rto_diff_1,58995.372069478035
rto_slope_3,56590.14311134815
rto_lag_1_div_mean_3,53333.42814433575
log_growth_lag_6,51003.60219562054
rto_lag_12_per_day,47694.91866707802
region_spendings_mom_ratio,41615.19674235582
log_growth_lag_4,39054.89457380772
rto_mean_3_div_mean_12,38989.262132406235
population,34711.64791882038
rto_lag_10,32576.01609480381
cashboxes,30138.67840576172
rto_rmean_2,29873.854991078377
rto_pct_1,28786.253809332848
rto_lag_2_div_lag_4,27994.43054330349
days_in_month_lag_1,27821.79981327057
rto_lag_9,27441.84113907814
items_per_check_rmean_12,26673.831465005875
abs_log_growth_lag_1,26000.07651424408
rto_rmedian_12,25530.03844809532
cancellations_lag_1,25227.458764910698
rto_rmedian_24,25157.087673187256
rto_cummean,24251.869594573975
rto_lag_2_div_lag_14,24248.07879924774
rto_pct_2,24151.62455356121
rto_lag_1,23924.11233663559
days_in_month_lag_12,23794.422186136246
rto_lag1_to_cummean,23615.429627776146
grp_area_cat_yoy_median,22575.055629491806
rto_lag_15,21657.327548980713
rto_lag_1_div_lag_2,21323.37512934208
rto_rstd_2,20843.713545084
rto_rmin_24,20625.19942200184
grp_all_yoy_macro_median,19827.155015707016
rto_diff_2,19160.02883374691
rto_lag_2,19149.591339707375
rto_rstd_3,17700.411725521088
region_spendings_lag1_to_rmean3,17310.70398914814
te_open_date_cat,16895.553943157196
rto_rmax_2,16587.38640010357
rto_rstd_12,16510.75517463684
rto_lag_5,16479.168078422546
rto_rstd_24,16048.41567671299
grp_area_cat_yoy_mean,15394.375472545624
area_cat,15385.020183324814
rto_slope_6,15349.629618883133
grp_all_lag1_mean,15344.428674936295
rto_per_day_yoy_ratio,14724.253816127777
rto_pct_6,14604.074461698532
grp_all_lag12_mean,14237.861306905746
rto_cv_6,14042.35807454586
rto_diff_6,13350.897180080414
months_with_history,13323.084837913513
rto_rmin_12,13035.028279304504
promo_per_check_lag_1,12940.531088113785
foot_traffic,12791.125494122505
rto_yoy_diff,11949.872920274734
items_per_check_lag_2,11931.769457817078
items_per_check_lag_1,11094.53058719635
grp_all_yoy_macro_mean,10708.63733947277
ets_pred,10510.469568252563
te_region_month,10344.76040494442
quarter,10257.68266928196
promo_per_check_lag_2,10064.602067947388
rto_rstd_4,9798.21931540966
cancellations_rmean_3,9649.778954148293
grocery_500,9351.08759188652
rto_lag_6,8886.65950524807
is_dec,8819.72753918171
grp_open_date_cat_lag1_median,8726.338570713997
te_locality,8719.0782392025
rto_rmedian_3,8613.403466939926
rto_yoy_ratio,8591.889139771461
cancellations_lag_2,8446.677529096603
grp_open_date_cat_lag1_mean,8217.98268854618
items_per_check_lag_12,7830.694042801857
rto_cumstd,7789.636030912399
car_traffic,7757.852752566338
rto_lag_13,7573.836079716682
region_spendings_yoy_ratio,7454.172784924507
rto_rmin_3,7281.741419434547
region_spendings_lag_2,7162.440304279327
rto_rstd_6,7134.410003066063
open_date_cat,7132.738892912865
rto_lag_4,6939.488794088364
items_per_check_rmean_3,6910.940341353416
rto_lag_3,6899.961083889008
promo_per_check_rmean_12,6755.834793925285
promo_per_check_rmean_3,6733.638511896133
rto_lag_16,6490.84155857563
region_spendings_lag_3,6279.569972515106
days_in_month,6060.219753623009
rto_cummin,5921.416808247566
grp_locality_lag1_mean,5758.972542583942
grp_region_lag1_median,5728.7357442379
rto_rmin_4,5702.516160130501
promo_per_check_lag_12,5411.545756101608
rto_rmedian_6,5360.956321358681
cancellations_rmean_12,5353.394295096397
region_spendings_inflated,5331.881948232651
cancellations_lag_12,5328.168040752411
rto_rmax_4,5295.354753136635
rto_log_ratio_1_12,5217.237771630287
rto_rmin_6,4951.873011469841
te_region,4948.888236761093
rto_lag_14,4901.896686196327
grp_locality_yoy_mean,4884.118898868561
te_area_open,4864.2422741651535
grp_region_yoy_mean,4824.671378731728
grp_region_yoy_median,4794.655474066734
rto_rmean_12,4753.507137060165
rto_cummax,4748.852191448212
grp_area_cat_lag1_median,4709.18731033802
grp_locality_yoy_median,4653.016988933086
region_spendings_rmean_12,4490.840373754501
region_spendings_rmean_3,4442.6293207407
grp_open_date_cat_yoy_median,4422.271946668625
rto_rmax_12,4375.865453362465
grp_area_cat_lag1_mean,4325.547653794289
grp_open_date_cat_yoy_mean,4323.269842743874
rto_lag_12,4176.278434634209
rto_rmax_24,4082.475206255913
grp_locality_lag1_median,4034.2769500017166
region_spendings_lag_1,4027.6336508989334
rto_rmedian_4,3895.015589118004
rto_rmax_3,3712.1886385679245
rto_rmean_3,3601.707343697548
medical_300,3490.5239787101746
