,0
rto_lag_1_per_day,7695918.862228155
rto_lag_1_scaled_by_days,3563105.2873266935
locality,1392348.4946266413
region,268542.83344721794
month_cos,190395.21680927277
is_jan,184396.54882383347
grp_all_lag1_mean,154074.07339048386
rto_seasonal_ratio_baseline,131431.50948405266
rto_lag_12_div_lag_13,93915.44290041924
households,70202.25778460503
rto_lag_7,64750.70456492901
rto_slope_12,60312.568291425705
cashboxes,56261.1602537632
rto_diff_1,48842.64806175232
rto_lag_1_div_mean_3,47815.20156431198
rto_lag_11,47481.64882969856
month_sin,44818.322836875916
rto_slope_3,44255.73696899414
rto_rmin_2,40151.76414489746
rto_rmean_2,36986.09771001339
log_growth_lag_6,36415.2331764698
population,31777.08028626442
rto_lag_12_per_day,30764.266360759735
rto_lag_1,26006.144264936447
cci_diff_1,25738.10596871376
rto_lag_8,25333.699195861816
rto_pct_1,24998.583126306534
items_per_check_rmean_12,23501.338251948357
log_growth_lag_4,23300.164959430695
rto_rmedian_24,22771.289160490036
non_working_days,22748.81957781315
rto_lag_2,22105.516097068787
area_cat,21518.405176758766
rto_lag1_to_cummean,21324.159983873367
rto_lag_9,20535.831733703613
rto_rmedian_12,19449.566566824913
rto_lag_2_div_lag_14,19316.657200336456
rto_lag_2_div_lag_4,18649.299888134003
rto_lag_1_div_lag_2,18618.308834075928
rto_lag_10,18205.16673028469
rto_rmin_24,16208.354068756104
rto_rmin_12,16006.389667272568
rto_diff2_1,15076.443898677826
abs_log_growth_lag_1,14862.141526699066
rto_lag_15,14760.88801407814
days_in_month_lag_1,14187.05435681343
rto_rstd_24,14055.580217838287
rto_rstd_2,12351.052842855453
items_per_check_lag1_to_cummean,12000.562222242355
rto_rstd_12,11770.115596055984
rto_rmax_2,11630.270205140114
days_in_month_lag_12,11431.454464316368
foot_traffic_clipped,11344.674742817879
te_locality,11080.93172943592
promo_per_check_pct_1,10622.674614906311
promo_per_check_pct_6,10362.530661940575
rto_pct_2,10263.918306350708
avg_ticket_inflated,9952.265502810478
promo_per_check_lag1_to_cummean,9707.41771042347
rto_slope_6,9465.781112670898
rto_cv_3,9258.399307489395
rto_lag_5,9253.70715200901
ets_pred,9204.687171936035
te_open_date_cat,9180.224726438522
rto_yoy_diff,8947.789376735687
cci_diff_4,8740.983250021935
grocery_500_clipped,8613.248040676117
rto_per_day_yoy_ratio,8446.85357773304
te_region_month,8424.187716007233
grp_all_yoy_macro_median,8322.077317237854
rto_pct_6,8183.239499211311
rto_diff_2,8003.145369052887
promo_per_check_pct_2,7926.304625749588
cci_lag_4,7837.307309985161
rto_diff_6,7830.979164481163
promo_per_check_diff_1,7495.25651204586
rto_cv_6,7473.725635409355
items_per_check_pct_2,7412.517387032509
items_per_check_pct_6,7405.640490531921
cci_yoy_ratio,7374.7402284145355
avg_ticket_inflated_lag_12,7356.371452927589
rto_cummean,7030.700585484505
promo_per_check_diff2_1,7005.230012536049
rto_rmedian_3,6996.450111508369
open_date_cat,6759.598434209824
items_per_check_pct_1,6439.479318141937
rto_rstd_3,6386.821167111397
items_per_check_lag_2,6248.41473865509
grp_open_date_cat_lag1_median,6219.627064347267
promo_per_check_diff_6,6169.334563136101
items_per_check_diff2_1,6045.48009955883
days_in_month,6030.876880407333
cancellations_diff_1,6011.97585439682
grp_open_date_cat_lag1_mean,6000.894338488579
inflation_coefficient,5729.679203391075
rto_rmin_4,5705.42741060257
promo_per_check_lag_1,5648.3622624874115
rto_rmin_3,5568.018451809883
grp_locality_lag1_mean,5566.8012862205505
grp_area_cat_yoy_median,5440.765629053116
cancellations_pct_1,5336.460805416107
cancellations_pct_2,5314.938043355942
items_per_check_diff_2,5249.004685759544
cancellations_lag_1,5220.719058871269
rto_cumstd,5205.18058359623
rto_yoy_ratio,5195.401606082916
promo_per_check_lag_2,5170.27373945713
items_per_check_diff_6,5123.543760418892
grp_region_lag1_median,5113.8488945961
items_per_check_yoy_ratio,5015.954010248184
car_traffic_clipped,4992.941604733467
cancellations_diff2_1,4967.4957447052
region_spendings_rmean_12,4887.182699799538
items_per_check_diff_1,4878.653885126114
items_per_check_cumstd,4848.368874907494
rto_lag_6,4836.835488438606
cancellations_diff_6,4834.444690585136
rto_rmin_6,4802.238688111305
