,0
rto_lag_1_per_day,7305177.138873577
rto_lag_1_scaled_by_days,3840408.8709688187
locality,2077486.156840682
region,335310.9261062145
inflation_lag_12,177957.58808529377
month_cos,155720.63027977943
rto_seasonal_ratio_baseline,135403.85697358847
rto_lag_12_div_lag_13,129343.38283091784
cancellations_clipped,125542.2929008007
country_spendings_mom_ratio,125330.27891671658
country_spendings_yoy_ratio,98621.99326205254
rto_lag_1,96971.54978501797
rto_slope_12,80064.47920376062
households,78187.00812745094
rto_lag_7,77882.83309197426
rto_rmin_2,67883.3077172041
rto_slope_3,67014.9197922945
rto_lag_1_div_mean_3,63481.564413905144
rto_diff_1,61212.183604836464
log_growth_lag_6,54843.56932926178
log_growth_lag_4,47332.72698837519
month_sin,47142.71725130081
rto_mean_3_div_mean_12,45017.38595253229
rto_lag_12_per_day,43562.386123776436
country_spendings_lag_1,40618.79694569111
inflation_mom_ratio,40441.765609622
rto_lag_2_div_lag_4,34979.4530659914
population,34955.21585190296
cashboxes,33974.10241007805
abs_log_growth_lag_1,33747.20531779528
rto_rmean_2,33219.387320160866
rto_pct_1,33052.55954146385
rto_lag1_to_cummean,32483.71383804083
rto_lag_10,31605.53006207943
items_per_check_rmean_12,31475.467491209507
cancellations_lag_1,30820.392806768417
rto_cummean,30698.792534708977
rto_lag_2_div_lag_14,28775.950753748417
rto_lag_9,26992.98166489601
rto_pct_2,26735.90245950222
rto_rstd_2,26198.020280241966
country_spendings_mean,25384.15718436241
rto_rmedian_12,25178.951496601105
rto_lag_1_div_lag_2,24720.267404437065
region_spendings_mom_ratio,23733.053581357002
rto_lag_2,23228.03288000822
rto_diff_2,23002.003910303116
region_spendings_lag1_to_rmean3,22815.918417453766
rto_rstd_3,21631.556555390358
rto_rmedian_24,21458.516379714012
rto_cv_6,20507.38828241825
rto_slope_6,20326.39112985134
rto_pct_6,20121.604943335056
rto_rstd_12,19899.703910827637
rto_rstd_24,19274.692412495613
days_in_month_lag_1,18633.727061986923
rto_rmin_24,18632.213473677635
rto_per_day_yoy_ratio,18183.562031388283
rto_diff_6,17778.18067598343
foot_traffic,17282.880327820778
rto_lag_5,17130.498894572258
rto_yoy_diff,16879.67250096798
items_per_check_lag_1,16525.83012855053
promo_per_check_lag_1,16088.2315158844
grp_all_lag1_mean,16001.364436507225
rto_rmin_12,15967.69508612156
rto_rstd_4,15855.833100140095
rto_lag_15,15798.700538158417
grp_all_yoy_macro_median,15103.523940205574
area_cat,14970.101498961449
rto_rmax_2,14786.333911538124
inflation_lag_1,13838.098229408264
promo_per_check_lag_2,13349.55951654911
inflation_coefficient,13338.706051707268
ets_pred,13030.04648566246
te_open_date_cat,12744.866529226303
grp_open_date_cat_lag1_median,12471.499364614487
cancellations_lag_2,12227.9667699337
items_per_check_lag_2,12073.01085960865
items_per_check_lag_12,11801.914942145348
grocery_500,11715.305037379265
grp_open_date_cat_lag1_mean,11686.698642611504
car_traffic,11666.297378957272
cancellations_rmean_3,11526.232454657555
grp_all_lag12_mean,11381.594474077225
rto_rstd_6,11127.870714068413
rto_lag_6,11117.994464874268
inflation_yoy_ratio,11115.15268111229
rto_yoy_ratio,11095.41602051258
rto_cumstd,10673.786817908287
rto_rmedian_3,10550.843182325363
region_spendings_yoy_ratio,10374.05406999588
promo_per_check_rmean_3,10087.686583518982
te_locality,9697.52090394497
promo_per_check_rmean_12,9552.775013923645
rto_lag_3,9291.87577521801
rto_lag_4,9094.283030688763
te_region_month,8826.593371033669
grp_all_yoy_macro_mean,8505.806554436684
cancellations_rmean_12,8401.27505081892
cancellations_lag_12,8258.43785059452
region_spendings_lag_2,8139.74725574255
rto_lag_16,8069.415254712105
open_date_cat,8059.033517837524
rto_rmin_4,8044.303792595863
items_per_check_rmean_3,8037.888197302818
rto_rmin_3,7949.022736668587
grp_locality_lag1_mean,7711.402646720409
grp_area_cat_yoy_mean,7612.776917457581
promo_per_check_lag_12,7593.554349422455
region_spendings_lag_3,7539.0717015862465
grp_area_cat_yoy_median,7453.713958621025
rto_lag_13,7411.144295811653
grp_locality_yoy_mean,7243.446456193924
rto_log_ratio_1_12,7118.392830312252
country_spendings_lag_12,7027.539134979248
grp_locality_yoy_median,6865.812919855118
rto_lag_12,6581.973953843117
grp_region_yoy_mean,6472.739204525948
grp_area_cat_lag1_mean,6454.192811727524
rto_lag_14,6446.353365898132
days_in_month,6392.176180958748
rto_rmin_6,6299.180892467499
rto_cummin,6287.773351192474
grp_area_cat_lag1_median,6167.3718148469925
rto_rmax_4,6137.630045890808
te_area_open,6132.667850971222
region_spendings_rmean_12,6126.045006036758
grp_region_yoy_median,6056.052293419838
grp_region_lag1_median,6000.869498968124
region_spendings_inflated,5976.830541968346
grp_open_date_cat_yoy_mean,5835.1658326387405
rto_rmedian_6,5821.057220816612
rto_rmean_12,5795.907852649689
grp_locality_lag1_median,5721.172658443451
te_region,5618.166596889496
grp_open_date_cat_yoy_median,5575.031174480915
rto_cummax,5521.790905714035
region_to_country_spendings_lag_1_ratio,5377.494453549385
medical_300,5271.72585105896
region_spendings_lag_1,5057.1952583789825
is_jan,4891.497555375099
rto_rmax_12,4858.619857430458
inflation_mom_delta,4791.750997424126
region_spendings_rmean_3,4711.297692537308
rto_rmax_24,4630.244810819626
rto_rmax_3,4527.452711105347
marketplaces_100,4298.38227558136
rto_rmedian_4,4112.920328974724
rto_rmean_3,3947.6891281604767
work_hours,3861.44595015049
te_region_area,3818.192851305008
is_dec,3778.2878680229187
rto_rmax_6,3773.2653205394745
te_area_cat,3654.0185302495956
rto_rmean_24,3586.6570447683334
region_month_rto_mean_lag12,3568.176372408867
grp_region_lag1_mean,3543.19137775898
region_spendings_lag_12,3463.6980670690536
rto_rmean_4,3437.0939534902573
rto_rmean_6,3149.277899980545
days_in_month_lag_12,3143.7811279296875
rto_same_month_1y_per_day,3084.87225484848
stops_300,2605.050243616104
p5_500,2482.576243162155
rto_same_month_mean,2212.6990028619766
log_growth_lag_1,1986.6472516059875
region_march_feb_ratio,1920.358192563057
locality_march_feb_ratio,1635.8831452131271
region_to_country_spendings_lag_12_ratio,1611.4400975704193
log_growth_lag_2,1591.3089764118195
city_march_feb_ratio,1564.0719850063324
schools_300,1433.961915254593
region_march_feb_ratio_hist_pairs,1295.037369608879
rto_naive_seasonal,1290.8019523620605
foot_traffic_clipped,1275.08775639534
car_traffic_clipped,1153.1782866716385
rto_std_3,1144.3316415548325
days_ratio_curr_to_lag1,1092.2916873693466
rto_lag_24,915.9761959314346
rto_rmedian_2,726.2301940917969
rto_std_6,635.8669854402542
grocery_500_clipped,618.9270505905151
quarter,509.13113951683044
rto_median_3,428.6149958372116
locality_march_feb_ratio_hist_pairs,422.27593982219696
rto_same_month_1y,397.17447888851166
days_per_month_ratio,342.37593364715576
rto_lag_1_div_lag_12,325.65561604499817
rto_min_6,310.80653738975525
medical_300_clipped,295.2935930490494
area_march_feb_ratio,250.62440693378448
rto_median_6,233.7192109823227
marketplaces_100_clipped,217.531165599823
rto_mean_12,205.74079513549805
rto_mean_6,201.74882590770721
rto_max_6,200.73083329200745
