,0
rto_lag_1_per_day,10790253.391262054
rto_lag_1_scaled_by_days,6360640.59381628
locality,2734381.0159192085
rto_lag_1,810022.062236309
is_jan,468081.40021800995
month_cos,455930.4448800087
region,447633.58920764923
month_sin,224638.56944656372
rto_lag_12_per_day,192419.2910809517
cancellations_clipped,178921.3420472145
rto_pct_1,155031.89759111404
rto_lag_7,151819.70383167267
rto_slope_12,151751.4811000824
households,149392.2943944931
rto_slope_3,127949.85073184967
rto_diff_1,124928.35182237625
rto_lag_15,110238.72684764862
rto_lag_13,96220.44965028763
population,84415.75800037384
days_in_month_lag_1,77953.22229480743
rto_lag_10,77379.00988483429
rto_lag1_to_cummean,74578.41777276993
grp_all_lag12_mean,73323.63293027878
grp_all_yoy_macro_mean,72310.5905456543
rto_lag_2,63353.993676662445
rto_rmedian_12,57014.734033584595
is_dec,56452.404727458954
ets_pred,54220.09312200546
rto_lag_9,53715.65895175934
cancellations_lag_1,50493.96656513214
cashboxes,50427.99428272247
grp_all_yoy_macro_median,50166.60531663895
rto_rmean_3,49433.41436338425
rto_pct_2,42871.12905740738
rto_slope_6,41383.7175283432
rto_cummean,39362.38324069977
rto_per_day_yoy_ratio,37936.78531074524
rto_diff_2,37531.447969436646
rto_rstd_3,36847.96542215347
items_per_check_rmean_12,36107.29072523117
rto_pct_6,36079.10161113739
rto_rstd_24,34600.23490476608
rto_yoy_diff,34572.675298690796
rto_same_month_1y_per_day,33726.70193147659
rto_lag_12,30097.80798625946
te_open_date_cat,29800.934020996094
rto_diff_6,29610.310551166534
quarter,29295.094871520996
items_per_check_lag_1,28895.239972114563
days_ratio_curr_to_lag1,28780.19748353958
te_region_month,27791.877321720123
promo_per_check_lag_1,26607.4125623703
rto_rmedian_3,26466.03727722168
grp_all_lag1_mean,26287.459496974945
rto_cumstd,25857.721064567566
rto_yoy_ratio,25644.46691608429
grp_area_cat_yoy_median,25106.943442821503
days_in_month,23937.311505794525
rto_rmin_12,23514.991713523865
area_cat,22930.349321365356
foot_traffic,22295.727715969086
grocery_500,22245.850339889526
rto_rstd_12,22167.788661956787
rto_rmin_3,21353.109167575836
rto_same_month_mean,20140.979184150696
rto_rstd_6,19128.887365341187
rto_rmin_6,18478.17918586731
items_per_check_lag_12,18318.797141075134
cancellations_rmean_3,17765.64418077469
promo_per_check_lag_2,17221.459636688232
items_per_check_lag_2,16951.93989610672
rto_lag_6,16734.03270959854
rto_lag_16,16723.500208854675
region_spendings_inflated,16579.262435913086
rto_rmean_12,15709.31146478653
grp_area_cat_yoy_mean,15616.660039424896
rto_lag_3,15608.296884536743
te_region,15068.453649520874
te_locality,14729.51317358017
grp_region_lag1_median,14312.40708732605
rto_rmin_24,13987.093891143799
cancellations_lag_2,13459.065595149994
grp_region_yoy_mean,13144.150484085083
rto_naive_seasonal,13122.270568847656
grp_open_date_cat_lag1_median,13065.417471885681
promo_per_check_rmean_3,12688.371584892273
items_per_check_rmean_3,12679.693580150604
car_traffic,12415.919454574585
rto_log_ratio_1_12,11797.082151412964
grp_region_yoy_median,11790.350383281708
rto_rmedian_24,11749.376054763794
grp_open_date_cat_lag1_mean,11517.199172496796
rto_rmax_12,11332.256437301636
rto_rmax_3,11148.697646141052
open_date_cat,11130.687806606293
rto_cummax,11126.121923923492
promo_per_check_rmean_12,11119.286467552185
rto_cummin,10215.623710632324
rto_rmedian_6,10077.051322460175
te_area_cat,9696.550437450409
rto_rmax_6,9417.853268146515
rto_rmax_24,8972.448631286621
promo_per_check_lag_12,8947.935778617859
cancellations_rmean_12,8603.744184494019
grp_open_date_cat_yoy_median,8363.707172393799
cancellations_lag_12,7973.750932693481
te_area_open,7900.5527176856995
grp_region_lag1_mean,7887.961300849915
rto_lag_24,7811.522237300873
grp_area_cat_lag1_mean,7592.735499858856
grp_open_date_cat_yoy_mean,7477.02938079834
medical_300,7300.783009529114
is_feb,7055.6876611709595
grp_area_cat_lag1_median,6802.188413619995
rto_rmean_24,6469.962749004364
foot_traffic_clipped,6266.599205493927
grocery_500_clipped,5372.269875049591
rto_rmean_6,5334.528119087219
te_region_area,5070.775023460388
marketplaces_100,4852.580666542053
stops_300,4305.76650428772
days_per_month_ratio,3815.9768929481506
rto_same_month_1y,3250.774227142334
work_hours,3250.3075556755066
p5_500,3049.9673137664795
rto_lag_25,2958.100622653961
car_traffic_clipped,2708.6337847709656
rto_ratio_lag1_sm1y,2210.6171731948853
medical_300_clipped,1649.831377029419
is_mar,1512.009699344635
schools_300,1488.7145328521729
stops_300_clipped,1382.2975273132324
marketplaces_100_clipped,846.6787405014038
rto_same_month_2y,813.572916507721
alco_flag,296.97607231140137
schools_300_clipped,240.46263217926025
