,0
days_in_month_lag_1,5865.403381347656
is_jan,3373.8402404785156
days_ratio_curr_to_lag1,2915.2346801757812
days_in_month_lag_12,997.9550170898438
days_in_month,701.6032638549805
non_working_days,240.78203201293945
month_sin,187.57909774780273
month_cos,158.52835655212402
quarter,141.5156192779541
rto_lag_12_div_lag_13,74.60170269012451
is_feb,51.705206871032715
rto_diff_1,43.94411897659302
rto_lag_1_div_lag_2,41.77905464172363
rto_mean_3_div_mean_12,41.07658529281616
log_growth_lag_1,37.438472747802734
te_region_month,30.144495725631714
households,27.437911987304688
rto_pct_1,24.5298810005188
te_region,24.227052688598633
te_open_date_cat,23.833943367004395
rto_lag_1_div_mean_3,23.664531707763672
rto_pct_6,23.263205766677856
log_growth_lag_4,22.84373712539673
population,21.953550577163696
log_growth_lag_6,20.51757025718689
rto_diff_6,20.059509754180908
rto_lag_2_div_lag_4,19.102718114852905
te_locality,17.968934535980225
open_date_cat,16.767220497131348
rto_per_day_yoy_ratio,16.250131845474243
rto_seasonal_ratio_baseline,15.671131134033203
rto_lag_12,15.313860297203064
log_growth_lag_2,14.699131488800049
rto_lag_13,14.074737071990967
rto_pct_2,14.03972601890564
rto_log_ratio_1_12,13.080853462219238
region,12.970954656600952
rto_lag_14,12.871587991714478
rto_std_6,12.682409286499023
rto_lag_3,12.50223445892334
rto_lag_6,11.953422904014587
rto_lag_2_div_lag_14,11.773772478103638
rto_yoy_ratio,11.62363600730896
rto_same_month_1y_per_day,11.342213869094849
rto_cv_6,11.291398048400879
rto_diff_2,11.179033994674683
te_region_area,10.778941631317139
grocery_500_clipped,10.729500770568848
rto_lag_4,10.723148107528687
foot_traffic_clipped,10.494436502456665
region_march_feb_ratio,10.221025466918945
rto_max_6,10.201141119003296
rto_lag_2,10.111197471618652
rto_min_6,9.76899003982544
rto_mean_12,9.703815460205078
region_march_feb_ratio_hist_pairs,9.620215654373169
stops_300_clipped,9.474051117897034
rto_yoy_diff,9.283049702644348
te_area_cat,9.253697633743286
rto_median_3,9.017589688301086
rto_std_3,8.964638710021973
te_area_open,8.777979016304016
rto_median_6,8.761586904525757
medical_300_clipped,8.694070816040039
rto_mean_6,8.60066843032837
rto_lag_12_per_day,8.549845933914185
rto_same_month_1y,8.489637970924377
rto_mean_4,8.430323719978333
rto_mean_3,7.988379716873169
rto_mean_2,7.7742990255355835
area_march_feb_ratio,7.680394649505615
car_traffic_clipped,7.661749601364136
schools_300_clipped,7.557983160018921
p5_500,7.543268322944641
city_march_feb_ratio,7.312954306602478
locality,7.19939661026001
rto_lag_1,7.137708425521851
marketplaces_100_clipped,7.070597410202026
area_march_feb_ratio_hist_pairs,7.0475757122039795
locality_march_feb_ratio_hist_pairs,6.776185989379883
cashboxes,6.628662109375
alco_flag,6.574839115142822
work_hours,5.116178750991821
area_cat,4.952420711517334
rto_naive_seasonal,2.6330177783966064
