model,study_name,best_value,best_trial,n_trials_total,n_trials_complete,n_trials_pruned,best_yaml_path,feature_list_path
xgboost,xgboost_xgb_feature_study_selected_features_latest56_scout3,4.8776189652185815,0,3,2,1,experiments\reports\optuna_xgboost_xgb_feature_study_selected_features_latest56_scout3_best_config.yaml,experiments/reports/feature_study_selected_features.csv
lightgbm,lightgbm_lgbm_feature_study_selected_features_latest56_scout3,4.984702144611409,0,3,2,1,experiments\reports\optuna_lightgbm_lgbm_feature_study_selected_features_latest56_scout3_best_config.yaml,experiments/reports/feature_study_selected_features.csv
