number,state,value,duration_s,fold_mapes,fold_iters,last_fold,learning_rate,num_leaves,min_data_in_leaf,feature_fraction,bagging_fraction,lambda_l1,lambda_l2,max_depth
0,COMPLETE,4.984702144611409,422.474441,"[5.753353157071485, 4.256922673678895, 4.704493873917094, 4.77840605525678]","[1338, 844, 1500, 1498]",2024-03,0.044525281185079396,145,147,0.9383699019515109,0.9874898654932726,0.01267626753405789,0.0034612023532102406,-1
1,COMPLETE,5.095083266083206,410.756466,"[5.488250439701891, 4.110623476419289, 4.830449074885301, 6.641365410584846]","[1500, 1500, 1500, 1499]",2024-03,0.021654853831627623,123,216,0.6355596086592517,0.7917159438720727,17.180460176962978,0.0011229278584154335,-1
2,PRUNED,5.185517082602913,91.261883,"[5.890949702714037, 4.338997938469564]","[1500, 415]",2024-12,0.03159765618349822,157,93,0.877797231979715,0.9693472328174475,0.00014526960936560448,0.0004401228044439941,6
