,0
rto_lag_1_per_day,7707275.188742638
rto_lag_1_scaled_by_days,3441519.575410843
locality,703916.9098379612
infl_roll_mean_3,178332.23874402046
region,177295.45777010918
rto_seasonal_ratio_baseline,131908.4054710865
inflation_lag_1,120651.21329522133
inflation_lag_12,99064.51251935959
grp_all_lag1_mean,97661.89979934692
rto_lag_12_div_lag_13,79560.51510834694
month_cos,72770.331148386
rto_rmin_2,69990.69255208969
rto_lag_7,61182.80951023102
households,59098.95433926582
rto_lag_1,55606.61160206795
cashboxes,55419.30967211723
rto_slope_12,48809.83900284767
rto_diff_1,47569.43723201752
rto_lag_1_div_mean_3,42145.16443777084
rto_lag_11,41332.19170808792
rto_slope_3,38434.517751693726
rto_rmean_2,33248.37992095947
population,29636.4004611969
infl_roll_std_12,28934.529126167297
rto_lag_12_per_day,27119.484205961227
infl_roll_mean_6,24280.737188577652
rto_mean_3_div_mean_12,23873.23171377182
inflation_mom_delta,23850.682700634003
items_per_check_rmean_12,22014.083084583282
log_growth_lag_6,21671.577081680298
rto_pct_1,21417.094359874725
area_cat,20816.142254829407
rto_lag_2,20471.68001651764
rto_rmedian_24,18846.17847275734
rto_rmedian_12,18444.938724517822
rto_lag_9,16731.888104200363
rto_lag_8,16327.31940293312
rto_lag_2_div_lag_14,15899.928173542023
inflation_prev_month,15605.951041936874
rto_lag1_to_cummean,15110.974957704544
rto_lag_1_div_lag_2,14235.204146146774
infl_accel,13814.501046180725
rto_lag_15,13612.856314659119
month_sin,12822.649295330048
log_growth_lag_4,12673.344052195549
rto_cummean,12077.598541259766
rto_rstd_24,12061.809251785278
rto_lag_10,11947.414319515228
rto_rmax_2,11856.236921310425
rto_rmin_24,11839.701179504395
rto_lag_2_div_lag_4,11720.999498724937
days_in_month_lag_1,10963.231612920761
non_working_days,10287.333716630936
abs_log_growth_lag_1,9940.473735809326
region_spendings_mom_ratio,9685.695428490639
inflation_mom_ratio,9255.934608221054
inflation_coefficient,8942.663973808289
te_locality,8847.826803445816
ets_pred,8754.750041007996
grp_area_cat_yoy_median,8076.317766666412
rto_rstd_12,7538.019951581955
rto_rmedian_3,7526.198345422745
rto_rstd_2,7474.240762472153
rto_lag_5,7351.219513177872
open_date_cat,7051.893585681915
rto_pct_6,6498.562244653702
rto_diff_6,6469.723702907562
foot_traffic_clipped,6376.6776332855225
rto_pct_2,6151.416641712189
rto_rmin_12,6046.245932817459
rto_yoy_diff,6031.918237447739
cpi_index_lag1,5855.266796827316
grocery_500_clipped,5697.222639799118
cancellations_lag_1,5490.232358455658
te_region_month,5351.616218090057
rto_per_day_yoy_ratio,5248.959825992584
items_per_check_lag_2,5206.624196052551
grp_region_lag1_median,5076.194532632828
te_open_date_cat,4996.071262359619
rto_lag_6,4871.900947570801
region_spendings_lag_2,4725.5661425590515
rto_diff_2,4682.7973428964615
items_per_check_lag_1,4516.685594797134
rto_rstd_3,4482.531657218933
rto_cv_6,4381.17079615593
promo_per_check_lag_1,4375.221595883369
rto_cumstd,4368.246189594269
rto_rmin_4,4365.2348256111145
te_region,4362.400596141815
rto_rmin_3,4352.229554653168
infl_roll_mean_12,4175.586998939514
rto_slope_6,4121.777691364288
rto_yoy_ratio,4052.875077009201
grp_all_yoy_macro_median,3962.7465810775757
region_spendings_lag1_to_rmean3,3784.028920173645
grp_open_date_cat_lag1_median,3641.787722826004
region_spendings_inflated,3486.7855052948
rto_lag_4,3428.3658549785614
is_jan,3406.89919090271
grp_locality_lag1_mean,3380.581612586975
rto_cummax,3360.296083211899
items_per_check_lag_12,3352.1514616012573
rto_rmedian_6,3341.670916080475
rto_lag_16,3278.771147251129
is_dec,3217.557028770447
grp_area_cat_yoy_mean,3206.1293642520905
region_spendings_lag_3,3153.0756001472473
grp_open_date_cat_lag1_mean,3116.8659336566925
