model,best_value,best_trial,config_path,feature_list_path,n_trials_total,n_trials_complete,n_trials_pruned,fold_mapes,best_json_path,best_yaml_path
xgboost,4.778856567092084,0,configs/xgb.yaml,experiments/reports/feature_study_selected_features.csv,2,1,1,5.1128; 4.1937; 4.5887; 4.8119,experiments/reports/optuna_xgboost_xgb_feature_study_selected_features_scout800b_best.json,experiments/reports/optuna_xgboost_xgb_feature_study_selected_features_scout800b_best_config.yaml
lightgbm,4.903170725943315,0,configs/lgbm.yaml,experiments/reports/feature_study_selected_features.csv,2,2,0,5.4692; 4.1925; 4.7856; 5.0993,experiments/reports/optuna_lightgbm_lgbm_feature_study_selected_features_scout800b_best.json,experiments/reports/optuna_lightgbm_lgbm_feature_study_selected_features_scout800b_best_config.yaml
catboost,6.043257340878115,0,configs/catboost.yaml,experiments/reports/feature_study_selected_features.csv,1,1,0,6.9292; 4.5398; 5.5030; 6.1121,experiments/reports/optuna_catboost_catboost_feature_study_selected_features_scout800c1_best.json,experiments/reports/optuna_catboost_catboost_feature_study_selected_features_scout800c1_best_config.yaml
