,0
rto_lag_1_per_day,7662886.592514813
rto_lag_1_scaled_by_days,3577589.009861946
locality,1768468.7428101897
region,302784.6932590604
month_cos,199016.05069077015
is_jan,186441.97162675858
grp_all_lag1_mean,184863.32842677832
rto_seasonal_ratio_baseline,148533.3040625453
rto_lag_12_div_lag_13,109889.66649824381
rto_lag_7,75218.33579748869
households,74831.03484332561
rto_slope_12,74039.67752510309
log_growth_lag_6,66738.47703689337
rto_lag_1_div_mean_3,65647.79454278946
rto_diff_1,64759.1792383194
rto_slope_3,60577.67660444975
month_sin,59093.89504772425
cashboxes,58490.08780533075
rto_lag_11,57531.41428202391
log_growth_lag_4,54639.043342888355
rto_rmin_2,53761.30032014847
rto_mean_3_div_mean_12,49813.3487739563
rto_lag_2_div_lag_4,42517.76881510019
rto_pct_1,39658.05537980795
abs_log_growth_lag_1,39364.1923481822
rto_rmean_2,38555.89538037777
region_spendings_mom_ratio,38028.98876738548
population,36090.456822156906
rto_lag1_to_cummean,35130.23183912039
rto_lag_12_per_day,33410.706401884556
rto_rstd_2,32470.335286021233
rto_lag_2_div_lag_14,32409.930836617947
non_working_days,31580.60018748045
rto_pct_2,31435.867957532406
rto_lag_8,31179.4214797616
rto_lag_9,29182.68455541134
items_per_check_rmean_12,28744.135362505913
region_spendings_lag1_to_rmean3,28057.995506882668
rto_diff_2,26792.723559379578
rto_rstd_3,26658.049763560295
rto_rmedian_12,25421.26585829258
rto_lag_2,25199.828649938107
rto_lag_1,24641.816165983677
rto_lag_10,24092.946465969086
rto_cv_6,23131.54707157612
rto_pct_6,22683.230922222137
rto_slope_6,22129.514128029346
area_cat,21884.23693907261
rto_lag_15,21518.299935221672
rto_diff_6,21448.390956819057
rto_rmedian_24,20826.0159201622
cancellations_lag_1,20026.085786402225
promo_per_check_lag_1,19856.716356635094
rto_rstd_4,19786.728645563126
rto_rstd_24,19488.516061007977
rto_rstd_12,19420.545126855373
rto_per_day_yoy_ratio,18827.566545069218
rto_rmin_24,18011.62704139948
rto_yoy_diff,17961.969170629978
rto_lag_5,17916.743021011353
promo_per_check_lag_2,17526.60834789276
rto_lag_1_div_lag_2,17080.577462852
foot_traffic_clipped,16988.264067828655
ets_pred,16545.717278540134
grp_area_cat_yoy_median,15642.192006647587
grp_open_date_cat_lag1_mean,15604.109010100365
grp_open_date_cat_lag1_median,15292.921088516712
cancellations_lag_2,14899.098348677158
rto_rmin_12,14826.10927426815
items_per_check_lag_1,14615.746371746063
rto_lag_6,14551.634780049324
rto_rstd_6,14336.230445802212
rto_rmax_2,14287.935165584087
days_in_month_lag_1,14239.417820513248
rto_cummean,14063.142012655735
te_locality,14013.902145922184
rto_yoy_ratio,13957.13053637743
items_per_check_lag_2,13243.30554151535
days_in_month_lag_12,13139.569360494614
grp_area_cat_yoy_mean,13121.282273948193
promo_per_check_rmean_3,12872.762689590454
car_traffic_clipped,12321.607043802738
te_region_month,12302.180604994297
items_per_check_lag_12,12273.629085958004
region_spendings_yoy_ratio,12176.763347923756
rto_lag_4,12130.506649851799
promo_per_check_rmean_12,11628.522185862064
te_open_date_cat,11210.52149772644
rto_cumstd,11158.269071519375
grocery_500_clipped,11086.084759414196
rto_lag_3,10777.50234657526
region_spendings_lag_2,10762.832989037037
cancellations_lag_12,10459.514390945435
promo_per_check_lag_12,10021.466558516026
grp_all_lag12_mean,10015.294884562492
grp_locality_lag1_mean,9959.898041546345
cancellations_rmean_3,9658.245893359184
cancellations_rmean_12,9534.736262619495
grp_all_yoy_macro_median,9227.21667343378
rto_lag_13,9063.641713917255
rto_lag_16,8971.63894200325
items_per_check_rmean_3,8962.319910645485
rto_rmin_4,8949.843643665314
grp_locality_yoy_median,8661.948076665401
grp_locality_yoy_mean,8539.552417755127
grp_area_cat_lag1_median,8427.013993024826
days_in_month,8293.316818237305
rto_rmin_3,8233.05883693695
region_spendings_lag_3,8212.315105617046
grp_region_yoy_mean,8165.990473628044
rto_rmedian_3,8046.8532348275185
rto_rmin_6,7935.636611878872
grp_open_date_cat_yoy_mean,7881.548525631428
open_date_cat,7770.269581437111
grp_area_cat_lag1_mean,7545.159900188446
grp_open_date_cat_yoy_median,7452.727706313133
region_spendings_lag_1,7440.969548523426
rto_lag_14,7431.462311625481
grp_locality_lag1_median,7401.806119382381
region_spendings_inflated,7340.439854443073
rto_lag_17,7260.280158519745
grp_region_lag1_median,7025.802408456802
region_spendings_rmean_3,7020.937537252903
is_dec,6892.585999488831
rto_cummax,6843.115534245968
rto_rmean_24,6800.322058022022
grp_region_yoy_median,6722.966849565506
rto_rmedian_6,6672.897667706013
rto_rmax_6,6547.903651237488
te_area_open,6464.376569211483
rto_rmax_4,6213.151952266693
rto_lag_12,6192.262564063072
te_region,6043.6053158044815
quarter,5930.941449046135
grp_all_yoy_macro_mean,5792.581550240517
rto_lag_18,5766.898563206196
rto_lag_19,5764.626154899597
region_spendings_rmean_12,5645.768336653709
medical_300_clipped,5639.9706763625145
rto_lag_20,5407.855307459831
te_region_area,5355.601781129837
rto_rmean_12,5128.177714288235
rto_rmedian_4,5071.876402080059
rto_cummin,5012.944709300995
marketplaces_100_clipped,4880.061007022858
rto_rmax_3,4405.493540883064
rto_rmax_12,4374.889528810978
grp_region_lag1_mean,4369.970317542553
region_spendings_lag_12,4212.489948987961
rto_rmean_3,4199.909572720528
rto_rmax_24,4144.655147314072
work_hours,4108.376348674297
te_area_cat,4092.2040308713913
rto_rmean_4,3791.2884447574615
rto_rmean_6,3781.0629246234894
region_month_rto_mean_lag12,3756.0364961624146
rto_lag_21,3362.53851300478
rto_same_month_mean,3293.2852142453194
rto_lag_22,3209.981849491596
log_growth_lag_1,2969.530814409256
days_ratio_curr_to_lag1,2890.507756114006
rto_log_ratio_1_12,2858.1757395863533
p5_500,2671.3634227514267
stops_300_clipped,2253.4985435009003
rto_lag_23,1957.7240913510323
region_march_feb_ratio,1954.3623043298721
log_growth_lag_2,1867.3590990304947
rto_naive_seasonal,1857.3533276319504
rto_std_3,1727.276019871235
schools_300_clipped,1219.1667770147324
city_march_feb_ratio,1198.7322929501534
locality_march_feb_ratio,1191.6913015246391
is_feb,1105.7832670211792
rto_rmedian_2,1073.526910662651
days_ratio_curr_to_lag12,967.3262832164764
